Most important legitimate n_grams
904. %b4 - freq: 39
905. %c4 - freq: 39
906. -ar - freq: 39
907. -hi - freq: 39
908. /ad - freq: 39
909. 81% - freq: 39
910. acc - freq: 39
911. ata - freq: 39
912. atc - freq: 39
913. c4% - freq: 39
914. cit - freq: 39
915. cur - freq: 39
916. d=1 - freq: 39
917. eli - freq: 39
918. emp - freq: 39
919. ges - freq: 39
920. gre - freq: 39
921. ier - freq: 39
922. ima - freq: 39
923. ito - freq: 39
924. l-s - freq: 39
925. m/2 - freq: 39
926. omi - freq: 39
927. ras - freq: 39
928. rid - freq: 39
929. s-w - freq: 39
930. t-t - freq: 39
931. us- - freq: 39
932. vel - freq: 39
933. vin - freq: 39
934. %83 - freq: 38
935. -a- - freq: 38
936. -pl - freq: 38
937. .fr - freq: 38
938. /bu - freq: 38
939. /fa - freq: 38
940. 110 - freq: 38
941. 252 - freq: 38
942. 4%b - freq: 38
943. a-d - freq: 38
944. ase - freq: 38
945. b2% - freq: 38
946. bol - freq: 38
947. boo - freq: 38
948. cri - freq: 38
949. dat - freq: 38
950. erc - freq: 38
951. ett - freq: 38
952. ge- - freq: 38
953. ic- - freq: 38
954. ife - freq: 38
955. kar - freq: 38
956. lia - freq: 38
957. m/r - freq: 38
958. ows - freq: 38
959. r/t - freq: 38
960. s-r - freq: 38
961. uid - freq: 38
962. %82 - freq: 37
963. %a9 - freq: 37
964. -10 - freq: 37
965. -ac - freq: 37
966. -at - freq: 37
967. -bl - freq: 37
968. -sp - freq: 37
969. .as - freq: 37
970. .au - freq: 37
971. /fi - freq: 37
972. a%e - freq: 37
973. a-c - freq: 37
974. adi - freq: 37
975. ane - freq: 37
976. asi - freq: 37
977. cid - freq: 37
978. e-h - freq: 37
979. ete - freq: 37
980. f%d - freq: 37
981. fil - freq: 37
982. hoo - freq: 37
983. ie- - freq: 37
984. m/v - freq: 37
985. n-p - freq: 37
986. nav - freq: 37
987. ngs - freq: 37
988. oma - freq: 37
989. ppl - freq: 37
990. s/a - freq: 37
991. spe - freq: 37
992. t-p - freq: 37
993. tac - freq: 37
994. tie - freq: 37
995. tos - freq: 37
996. .br - freq: 36
997. .li - freq: 36
998. //g - freq: 36
999. /fo - freq: 36
1000. /fr - freq: 36
1001. /us - freq: 36
1002. 8-1 - freq: 36
1003. 8bc - freq: 36
1004. aa% - freq: 36
1005. ado - freq: 36
1006. ala - freq: 36
1007. ba% - freq: 36
1008. bal - freq: 36
1009. bc. - freq: 36
1010. ce/ - freq: 36
1011. ct/ - freq: 36
1012. dep - freq: 36
1013. ee- - freq: 36
1014. ef= - freq: 36
1015. ey- - freq: 36
1016. ivi - freq: 36
1017. ker - freq: 36
1018. ly- - freq: 36
1019. og/ - freq: 36
1020. ow- - freq: 36
1021. r-a - freq: 36
1022. rap - freq: 36
1023. rds - freq: 36
1024. shi - freq: 36
1025. sur - freq: 36
1026. tec - freq: 36
1027. tis - freq: 36
1028. ton - freq: 36
1029. ur- - freq: 36
1030. %bc - freq: 35
1031. -cr - freq: 35
1032. -he - freq: 35
1033. -un - freq: 35
1034. /al - freq: 35
1035. /pe - freq: 35
1036. 83% - freq: 35
1037. alo - freq: 35
1038. ch/ - freq: 35
1039. cro - freq: 35
1040. del - freq: 35
1041. emb - freq: 35
1042. erm - freq: 35
1043. ew- - freq: 35
1044. hes - freq: 35
1045. isi - freq: 35
1046. len - freq: 35
1047. mal - freq: 35
1048. me. - freq: 35
1049. mep - freq: 35
1050. mic - freq: 35
1051. n-b - freq: 35
1052. n-i - freq: 35
1053. ndo - freq: 35
1054. omo - freq: 35
1055. rde - freq: 35
1056. rst - freq: 35
1057. s/1 - freq: 35
1058. tha - freq: 35
1059. us/ - freq: 35
1060. wee - freq: 35
1061. %b9 - freq: 34
1062. -ra - freq: 34
1063. .15 - freq: 34
1064. /.k - freq: 34
1065. /ch - freq: 34
1066. /li - freq: 34
1067. /mi - freq: 34
1068. /sp - freq: 34
1069. /wh - freq: 34
1070. 9%d - freq: 34
1071. abl - freq: 34
1072. ach - freq: 34
1073. aga - freq: 34
1074. bri - freq: 34
1075. da- - freq: 34
1076. dan - freq: 34
1077. e-e - freq: 34
1078. e.h - freq: 34
1079. eek - freq: 34
1080. gar - freq: 34
1081. hp_ - freq: 34
1082. ia/ - freq: 34
1083. inc - freq: 34
1084. liv - freq: 34
1085. mun - freq: 34
1086. nsu - freq: 34
1087. nve - freq: 34
1088. om- - freq: 34
1089. raf - freq: 34
1090. ram - freq: 34
1091. ro- - freq: 34
1092. ros - freq: 34
1093. rso - freq: 34
1094. s-h - freq: 34
1095. s/b - freq: 34
1096. sid - freq: 34
1097. sol - freq: 34
1098. sup - freq: 34
1099. til - freq: 34
1100. tit - freq: 34
1101. -ki - freq: 33
1102. -pi - freq: 33
1103. -tu - freq: 33
1104. -us - freq: 33
1105. .ca - freq: 33
1106. .to - freq: 33
1107. /do - freq: 33
1108. /ta - freq: 33
1109. 87% - freq: 33
1110. _co - freq: 33
1111. a%2 - freq: 33
1112. a-% - freq: 33
1113. a-m - freq: 33
1114. a-t - freq: 33
1115. abo - freq: 33
1116. asp - freq: 33
1117. b.c - freq: 33
1118. ds- - freq: 33
1119. fr/ - freq: 33
1120. g-t - freq: 33
1121. gat - freq: 33
1122. go. - freq: 33
1123. lli - freq: 33
1124. mos - freq: 33
1125. nie - freq: 33
1126. nor - freq: 33
1127. oad - freq: 33
1128. omp - freq: 33
1129. ool - freq: 33
1130. ov/ - freq: 33
1131. r-s - freq: 33
1132. riv - freq: 33
1133. rou - freq: 33
1134. rs. - freq: 33
1135. s-e - freq: 33
1136. sal - freq: 33
1137. sch - freq: 33
1138. si- - freq: 33
1139. t-m - freq: 33
1140. ues - freq: 33
1141. zon - freq: 33
1142. -mu - freq: 32
1143. -ph - freq: 32
1144. .ba - freq: 32
1145. .pa - freq: 32
1146. .sh - freq: 32
1147. .te - freq: 32
1148. .th - freq: 32
1149. /ap - freq: 32
1150. /sa - freq: 32
1151. 2%e - freq: 32
1152. 82% - freq: 32
1153. ad. - freq: 32
1154. aft - freq: 32
1155. air - freq: 32
1156. ce. - freq: 32
1157. chr - freq: 32
1158. dem - freq: 32
1159. dre - freq: 32
1160. eci - freq: 32
1161. ecu - freq: 32
1162. edu - freq: 32
1163. egr - freq: 32
1164. en. - freq: 32
1165. gui - freq: 32
1166. his - freq: 32
1167. igi - freq: 32
1168. lib - freq: 32
1169. ls- - freq: 32
1170. lti - freq: 32
1171. o.j - freq: 32
1172. oft - freq: 32
1173. olo - freq: 32
1174. ou- - freq: 32
1175. r-p - freq: 32
1176. rop - freq: 32
1177. sof - freq: 32
1178. tab - freq: 32
1179. u.c - freq: 32
1180. uri - freq: 32
1181. vir - freq: 32
1182. -ce - freq: 31
1183. -sc - freq: 31
1184. -ti - freq: 31
1185. .me - freq: 31
1186. .mi - freq: 31
1187. .ph - freq: 31
1188. .re - freq: 31
1189. .we - freq: 31
1190. /.y - freq: 31
1191. /au - freq: 31
1192. 8%e - freq: 31
1193. a-p - freq: 31
1194. ams - freq: 31
1195. ano - freq: 31
1196. arg - freq: 31
1197. di- - freq: 31
1198. e/p - freq: 31
1199. isc - freq: 31
1200. mus - freq: 31
1201. nst - freq: 31
